,date,state,fips,cases,deaths
32650,2021-10-16,Washington,53,697362,8295
32706,2021-10-17,Washington,53,697424,8295
32762,2021-10-18,Washington,53,699451,8302
32818,2021-10-19,Washington,53,704872,8381
32874,2021-10-20,Washington,53,707468,8431
32930,2021-10-21,Washington,53,710619,8475
32986,2021-10-22,Washington,53,713011,8501
33042,2021-10-23,Washington,53,713011,8501
33098,2021-10-24,Washington,53,713073,8501
33154,2021-10-25,Washington,53,718388,8531
33210,2021-10-26,Washington,53,720376,8572
33266,2021-10-27,Washington,53,722300,8617
33322,2021-10-28,Washington,53,725516,8646
33378,2021-10-29,Washington,53,727761,8686
33434,2021-10-30,Washington,53,727761,8686
33490,2021-10-31,Washington,53,727820,8686
33546,2021-11-01,Washington,53,732810,8717
33602,2021-11-02,Washington,53,734573,8753
33658,2021-11-03,Washington,53,736362,8784
33714,2021-11-04,Washington,53,738602,8822
33770,2021-11-05,Washington,53,740161,8844
33826,2021-11-06,Washington,53,740161,8844
33882,2021-11-07,Washington,53,740219,8844
33938,2021-11-08,Washington,53,745324,8877
33994,2021-11-09,Washington,53,746860,8908
34050,2021-11-10,Washington,53,748950,8910
34106,2021-11-11,Washington,53,748950,8910
34162,2021-11-12,Washington,53,752746,8979
34218,2021-11-13,Washington,53,752746,8979
34274,2021-11-14,Washington,53,752831,8979
34330,2021-11-15,Washington,53,756903,9034
34386,2021-11-16,Washington,53,759058,9069
34442,2021-11-17,Washington,53,761304,9108
34498,2021-11-18,Washington,53,763202,9138
34554,2021-11-19,Washington,53,764781,9157
34610,2021-11-20,Washington,53,764791,9157
34666,2021-11-21,Washington,53,764816,9157
34722,2021-11-22,Washington,53,768630,9182
34778,2021-11-23,Washington,53,769808,9225
34834,2021-11-24,Washington,53,770886,9256
34890,2021-11-25,Washington,53,770886,9256
34946,2021-11-26,Washington,53,770886,9256
35002,2021-11-27,Washington,53,770886,9256
35058,2021-11-28,Washington,53,770886,9256
35114,2021-11-29,Washington,53,775613,9313
35170,2021-11-30,Washington,53,777001,9349
35226,2021-12-01,Washington,53,778346,9391
35282,2021-12-02,Washington,53,781778,9435
35338,2021-12-03,Washington,53,783626,9466
