,STNAME,CTYNAME,POPESTIMATE2019
1373,Minnesota,Koochiching County,12229
1374,Minnesota,Lac qui Parle County,6623
1375,Minnesota,Lake County,10641
1376,Minnesota,Lake of the Woods County,3740
1377,Minnesota,Le Sueur County,28887
1378,Minnesota,Lincoln County,5639
1379,Minnesota,Lyon County,25474
1380,Minnesota,McLeod County,35893
1381,Minnesota,Mahnomen County,5527
1382,Minnesota,Marshall County,9336
1383,Minnesota,Martin County,19683
1384,Minnesota,Meeker County,23222
1385,Minnesota,Mille Lacs County,26277
1386,Minnesota,Morrison County,33386
1387,Minnesota,Mower County,40062
1388,Minnesota,Murray County,8194
1389,Minnesota,Nicollet County,34274
1390,Minnesota,Nobles County,21629
1391,Minnesota,Norman County,6375
1392,Minnesota,Olmsted County,158293
1393,Minnesota,Otter Tail County,58746
1394,Minnesota,Pennington County,14119
1395,Minnesota,Pine County,29579
1396,Minnesota,Pipestone County,9126
1397,Minnesota,Polk County,31364
1398,Minnesota,Pope County,11249
1399,Minnesota,Ramsey County,550321
1400,Minnesota,Red Lake County,4055
1401,Minnesota,Redwood County,15170
1402,Minnesota,Renville County,14548
1403,Minnesota,Rice County,66972
1404,Minnesota,Rock County,9315
1405,Minnesota,Roseau County,15165
1406,Minnesota,St. Louis County,199070
1407,Minnesota,Scott County,149013
1408,Minnesota,Sherburne County,97238
1409,Minnesota,Sibley County,14865
1410,Minnesota,Stearns County,161075
1411,Minnesota,Steele County,36649
1412,Minnesota,Stevens County,9805
1413,Minnesota,Swift County,9266
1414,Minnesota,Todd County,24664
1415,Minnesota,Traverse County,3259
1416,Minnesota,Wabasha County,21627
1417,Minnesota,Wadena County,13682
1418,Minnesota,Waseca County,18612
1419,Minnesota,Washington County,262440
1420,Minnesota,Watonwan County,10897
1421,Minnesota,Wilkin County,6207
1422,Minnesota,Winona County,50484
1423,Minnesota,Wright County,138377
1424,Minnesota,Yellow Medicine County,9709
1425,Mississippi,Mississippi,2976149
1426,Mississippi,Adams County,30693
1427,Mississippi,Alcorn County,36953
1428,Mississippi,Amite County,12297
1429,Mississippi,Attala County,18174
1430,Mississippi,Benton County,8259
1431,Mississippi,Bolivar County,30628
1432,Mississippi,Calhoun County,14361
1433,Mississippi,Carroll County,9947
1434,Mississippi,Chickasaw County,17103
1435,Mississippi,Choctaw County,8210
1436,Mississippi,Claiborne County,8988
1437,Mississippi,Clarke County,15541
1438,Mississippi,Clay County,19316
1439,Mississippi,Coahoma County,22124
1440,Mississippi,Copiah County,28065
1441,Mississippi,Covington County,18636
1442,Mississippi,DeSoto County,184945
1443,Mississippi,Forrest County,74897
1444,Mississippi,Franklin County,7713
1445,Mississippi,George County,24500
1446,Mississippi,Greene County,13586
1447,Mississippi,Grenada County,20758
1448,Mississippi,Hancock County,47632
1449,Mississippi,Harrison County,208080
1450,Mississippi,Hinds County,231840
1451,Mississippi,Holmes County,17010
1452,Mississippi,Humphreys County,8064
1453,Mississippi,Issaquena County,1327
1454,Mississippi,Itawamba County,23390
1455,Mississippi,Jackson County,143617
1456,Mississippi,Jasper County,16383
1457,Mississippi,Jefferson County,6990
1458,Mississippi,Jefferson Davis County,11128
1459,Mississippi,Jones County,68098
1460,Mississippi,Kemper County,9742
1461,Mississippi,Lafayette County,54019
1462,Mississippi,Lamar County,63343
1463,Mississippi,Lauderdale County,74125
1464,Mississippi,Lawrence County,12586
1465,Mississippi,Leake County,22786
1466,Mississippi,Lee County,85436
1467,Mississippi,Leflore County,28183
1468,Mississippi,Lincoln County,34153
1469,Mississippi,Lowndes County,58595
1470,Mississippi,Madison County,106272
1471,Mississippi,Marion County,24573
1472,Mississippi,Marshall County,35294
1473,Mississippi,Monroe County,35252
1474,Mississippi,Montgomery County,9775
1475,Mississippi,Neshoba County,29118
1476,Mississippi,Newton County,21018
1477,Mississippi,Noxubee County,10417
1478,Mississippi,Oktibbeha County,49587
1479,Mississippi,Panola County,34192
1480,Mississippi,Pearl River County,55535
1481,Mississippi,Perry County,11973
1482,Mississippi,Pike County,39288
1483,Mississippi,Pontotoc County,32174
1484,Mississippi,Prentiss County,25126
1485,Mississippi,Quitman County,6792
1486,Mississippi,Rankin County,155271
1487,Mississippi,Scott County,28124
1488,Mississippi,Sharkey County,4321
1489,Mississippi,Simpson County,26658
1490,Mississippi,Smith County,15916
1491,Mississippi,Stone County,18336
1492,Mississippi,Sunflower County,25110
1493,Mississippi,Tallahatchie County,13809
1494,Mississippi,Tate County,28321
1495,Mississippi,Tippah County,22015
1496,Mississippi,Tishomingo County,19383
